  ,  ,,,,|,0.369976486,38.02313917,272.2041904,3:43,102.7717722,|,0.343840176,270.1377687,0.635649627,352.0543268,|,0.078948457,230.1061086,0.000372505,,|,,,,,|,,,,,|,,,0.766854068,279.5725398,|,,,,,,,|,6.479692082,0.219952976,6.744129375,0.158389288,|,6.479692082,348.9847112,,,|,6.744129375,0.010615911,6.479692082,0.219952976,|,6.744129375,0.158389288,6.479692082,0.219952976,|,6.479692082,0.219952976,,,|,6.744129375,0.158389288,,,|,,,,,,,|,5.439042237,0.321395222,5.697424259,0.101789192,|,5.697424259,0.008128045,5.439042237,0.321395222,|,5.697424259,0.101789192,5.439042237,0.321395222,|,5.439042237,361.7680339,5.697424259,75.6919194,|,5.697424259,6.044318769,,,|,5.697424259,75.6919194,,,|,378.6 - 84.2,231.3876376,0.012940966,0.012940966,0.223710585,0.223710585,|,6.479692082,0.13510598,6.775187338,0.157107163,|,6.479692082,28.89842768,6.775187338,97.1707531,|,6.775187338,0.157107163,6.775187338,97.1707531,|,29.3 - 20.8,25.02954992,0.002529528,0.002529528,0.404246616,0.404246616,|,4.11972552,0.245686238,4.322130275,3.013240958,|,4.11972552,213.2719917,4.322130275,2846.554576,|,4.322130275,3.013240958,4.322130275,2846.554576,|,,,,,,|,0.035865448,208.1873469,206.3786126,1.808734273,0.008688013,|,3.431223586,134.1487396,,,|,3.431223586,2.687482247,,,|,3.431223586,81.99748932,,,|,3.431223586,0.344782216,,,|,3.431223586,0.004610676,,,|,3.431223586,0.017792983,,,|,3.431223586,0.14067586,,,|,0.343840176,270.1377687,0.082588248,232.6415443,|,0.343840176,270.1377687,0.082588248,232.6415443
BJH Desorption cumulative surface area of pores , ,,,,|,0.412699624,42.41771694,275.3672851,3:49,102.7810895,|,0.369976486,272.2041904,0.59671473,350.5852688,|,0.095627622,235.5156453,0.000448969,,|,,,,,|,Relative Pressure (P/Po),Statistical Thickness (nm),,,|,,,0.780141262,280.8052374,|,Pore Diameter Range (nm),Average Diameter (nm),Incremental Pore Volume (cm?/g),Cumulative Pore Volume (cm?/g),Incremental Pore Area (m?/g),Cumulative Pore Area (m?/g),|,5.966027598,0.214123056,6.197295337,0.163939563,|,5.966027598,345.5269369,,,|,6.197295337,0.011934119,5.966027598,0.214123056,|,6.197295337,0.163939563,5.966027598,0.214123056,|,5.966027598,0.214123056,,,|,6.197295337,0.163939563,,,|,Pore Diameter Range (nm),Average Diameter (nm),Incremental Pore Volume (cm?/g),Cumulative Pore Volume (cm?/g),Incremental Pore Area (m?/g),Cumulative Pore Area (m?/g),|,4.943985548,0.317277545,5.162354272,0.12725267,|,5.162354272,0.01118973,4.943985548,0.317277545,|,5.162354272,0.12725267,4.943985548,0.317277545,|,4.943985548,358.8771299,5.162354272,103.7333773,|,5.162354272,9.122704401,,,|,5.162354272,103.7333773,,,|,84.2 - 52.5,68.37913459,0.015968515,0.028909481,0.934116244,1.157826828,|,5.966027598,0.140855171,6.22285984,0.162622376,|,5.966027598,32.59395738,6.22285984,109.0283098,|,6.22285984,0.162622376,6.22285984,109.0283098,|,20.8 - 16.5,18.65849563,0.00200569,0.004535218,0.429978983,0.834225598,|,3.826173404,0.271693646,3.972949462,0.300161733,|,3.826173404,239.4564762,3.972949462,310.5379809,|,3.972949462,0.300161733,3.972949462,310.5379809,|,Pore Width (nm),Cumulative Pore Volume (cm?/g),Incremental Pore Volume (cm?/g),Cumulative Pore Area (m?/g),Incremental Pore Area (m?/g),|,0.041930798,212.8299527,213.4411078,-0.611155146,-0.002871565,|,3.699287918,136.4242745,,,|,3.699287918,2.275534894,,,|,3.699287918,67.98042876,,,|,3.699287918,0.348991145,,,|,3.699287918,0.004208929,,,|,3.699287918,0.014719872,,,|,3.699287918,0.125739589,,,|,0.369976486,272.2041904,0.092847057,234.7295866,|,0.369976486,272.2041904,0.092847057,234.7295866
between 1.7000 nm and 300.0000 nm diameter:,372.3643 m?/g,,,,|,0.429482334,44.13436897,276.6059713,3:53,102.7617795,|,0.412699624,275.3672851,0.557951716,349.01669,|,0.128748042,243.8204428,0.000606076,,|,,,,,|,5.83E-07,0.008529,,,|,,,0.803881797,282.8792373,|,378.6 - 84.2,96.98542316,0.013666466,0.353379688,0.563650308,376.626406,|,5.56961937,0.208317325,5.751077217,0.171445396,|,5.56961937,341.7796692,,,|,5.751077217,0.013368654,5.56961937,0.208317325,|,5.751077217,0.171445396,5.56961937,0.208317325,|,5.56961937,0.208317325,,,|,5.751077217,0.171445396,,,|,839.0 - 156.7,179.7730078,0.01084451,0.362657909,0.241293396,372.3643456,|,4.52453503,0.31268678,4.711287843,2.809552592,|,4.711287843,0.269487354,4.52453503,0.31268678,|,4.711287843,2.809552592,4.52453503,0.31268678,|,4.52453503,355.32,4.711287843,2603.43545,|,4.711287843,249.7209662,,,|,4.711287843,2603.43545,,,|,52.5 - 27.5,40.00135712,0.03117037,0.060079803,3.116931283,4.274758112,|,5.56961937,0.145774921,5.767823484,0.170667223,|,5.56961937,36.00581622,5.767823484,122.7322557,|,5.767823484,0.170667223,5.767823484,122.7322557,|,16.5 - 12.6,14.57857201,0.002945144,0.007480362,0.808074705,1.642300304,|,3.483537342,0.274919275,3.654855373,0.023523606,|,3.483537342,242.9867159,3.654855373,25.59330061,|,3.654855373,0.023523606,3.654855373,25.59330061,|,1.483289338,0.231914646,0.018384556,24.78890087,24.78890087,|,0.048663601,216.8182977,215.7483469,1.069950847,0.004934781,|,4.003093956,138.4658394,,,|,4.003093956,2.041564905,,,|,4.003093956,60.18319279,,,|,4.003093956,0.353077433,,,|,4.003093956,0.004086288,,,|,4.003093956,0.013066015,,,|,4.003093956,0.120459488,,,|,0.412699624,275.3672851,0.103808001,236.7037473,|,0.412699624,275.3672851,0.103808001,236.7037473
  ,  ,,,,|,0.471209335,48.41430363,279.5725398,3:59,102.7447888,|,0.429482334,276.6059713,0.519731624,347.258591,|,0.160808911,249.9453005,0.000766663,,|,,,,,|,1.27E-06,0.0168,,,|,,,0.828505151,284.9738623,|,84.2 - 52.5,61.39601761,0.016582805,0.339713222,1.08038309,376.0627556,|,5.294644866,0.203367843,5.423531487,0.176859215,|,5.294644866,338.337196,,,|,5.423531487,0.014505899,5.294644866,0.203367843,|,5.423531487,0.176859215,5.294644866,0.203367843,|,5.294644866,0.203367843,,,|,5.423531487,0.176859215,,,|,156.7 - 55.1,65.83803597,0.00417192,0.3518134,0.253465659,372.1230522,|,4.11972552,0.307290468,4.298343537,3.249359011,|,4.298343537,0.342778995,4.11972552,0.307290468,|,4.298343537,3.249359011,4.11972552,0.307290468,|,4.11972552,350.7384173,4.298343537,3060.549713,|,4.298343537,322.8614916,,,|,4.298343537,3060.549713,,,|,27.5 - 21.8,24.63030347,0.014139757,0.074219608,2.296318781,6.571076893,|,5.294644866,0.149656175,5.432132118,0.17482768,|,5.294644866,38.86381318,5.432132118,132.189698,|,5.432132118,0.17482768,5.432132118,132.189698,|,12.6 - 10.4,11.50085091,0.002794425,0.010274787,0.971902114,2.614202417,|,3.193447495,0.274919275,3.338492419,1.96E-07,|,3.193447495,242.9867159,3.338492419,0.000275926,|,3.338492419,1.96E-07,3.338492419,0.000275926,|,1.590515054,0.249347872,0.017433226,46.71038612,21.92148525,|,0.056084011,220.5972315,222.1778264,-1.580594817,-0.007165071,|,4.324771359,140.4156012,,,|,4.324771359,1.949761776,,,|,4.324771359,58.73439605,,,|,4.324771359,0.35729357,,,|,4.324771359,0.004216137,,,|,4.324771359,0.012752494,,,|,4.324771359,0.127006417,,,|,0.429482334,276.6059713,0.115456402,241.8225115,|,0.429482334,276.6059713,0.115456402,241.8225115
D-H Adsorption cumulative surface area of pores , ,,,,|,0.487978125,50.13754691,280.8052374,4:04,102.7454804,|,0.471209335,279.5725398,0.47723202,289.7679624,|,0.202074024,256.1126399,0.000988819,,|,,,,,|,2.47E-06,0.02514,,,|,,,0.863875341,287.8852752,|,52.5 - 27.5,32.37453695,0.033010889,0.323130417,4.078623819,374.9823726,|,4.808251407,0.199484803,5.022390844,0.184216757,|,4.808251407,335.4733497,,,|,5.022390844,0.01663909,4.808251407,0.199484803,|,5.022390844,0.184216757,4.808251407,0.199484803,|,4.808251407,0.199484803,,,|,5.022390844,0.184216757,,,|,55.1 - 29.3,34.4811477,0.002688683,0.347641479,0.311901839,371.8695865,|,3.826173404,0.087272539,3.959074977,0.528039817,|,3.959074977,0.059802385,3.826173404,0.087272539,|,3.959074977,0.528039817,3.826173404,0.087272539,|,3.826173404,145.9917035,3.959074977,527.7689339,|,3.959074977,59.78349761,,,|,3.959074977,527.7689339,,,|,21.8 - 16.9,19.32918413,0.01340264,0.087622248,2.773555221,9.344632114,|,4.808251407,0.156982958,5.051448137,0.180681926,|,4.808251407,44.66554163,5.051448137,150.2113409,|,5.051448137,0.180681926,5.051448137,150.2113409,|,10.4 -  8.8,9.587774957,0.002882447,0.013157235,1.202551137,3.816753554,|,3.028750679,0.274919275,3.111099087,0.004927098,|,3.028750679,242.9867159,3.111099087,6.885417077,|,3.111099087,0.004927098,3.111099087,6.885417077,|,1.715611708,0.265327444,0.015979572,65.3388112,18.62842508,|,0.064206667,224.3588493,224.4577801,-0.098930725,-0.000440949,|,4.664319445,142.2839068,,,|,4.664319445,1.868305547,,,|,4.664319445,56.24568285,,,|,4.664319445,0.361650757,,,|,4.664319445,0.004357187,,,|,4.664319445,0.012190694,,,|,4.664319445,0.131173916,,,|,0.471209335,279.5725398,0.127772301,243.4790311,|,0.471209335,279.5725398,0.127772301,243.4790311
between 0.7500 nm and 300.0000 nm diameter:,351.7106 m?/g,,,,|,0.517115395,53.13438774,282.8792373,4:09,102.7515102,|,0.487978125,280.8052374,0.442336897,280.6130358,|,0.224751295,258.9153767,0.001119704,,|,,,,,|,4.34E-06,0.03348,,,|,,,0.882474728,289.420548,|,27.5 - 21.8,23.90810334,0.014246671,0.290119528,2.383571972,370.9037487,|,4.497879029,0.191978857,4.640218935,0.192661115,|,4.497879029,329.4953635,,,|,4.640218935,0.018602678,4.497879029,0.191978857,|,4.640218935,0.192661115,4.497879029,0.191978857,|,4.497879029,0.191978857,,,|,4.640218935,0.192661115,,,|,29.3 - 20.8,23.47101013,0.0025716,0.344952796,0.438259756,371.5576847,|,3.483537342,0.060638005,3.634296797,0.038816926,|,3.634296797,0.00484035,3.483537342,0.060638005,|,3.634296797,0.038816926,3.483537342,0.060638005,|,3.483537342,119.0818474,3.634296797,48.59032824,|,3.634296797,6.058489057,,,|,3.634296797,48.59032824,,,|,16.9 - 14.0,15.42798723,0.008242873,0.095865122,2.137122111,11.48175423,|,4.497879029,0.162389524,4.653065218,0.190446971,|,4.497879029,49.31328805,4.653065218,169.4555673,|,4.653065218,0.190446971,4.653065218,169.4555673,|,8.8 -  7.6,8.223714255,0.003120489,0.016277724,1.517800479,5.334554033,|,2.795912457,0.275510315,2.912331568,0.03587591,|,2.795912457,243.7984911,2.912331568,51.37308604,|,2.912331568,0.03587591,2.912331568,51.37308604,|,1.8585793,0.279639931,0.014312487,80.74034644,15.40153524,|,0.073040441,227.9767968,226.7268225,1.249974305,0.005482901,|,5.039609578,144.0450306,,,|,5.039609578,1.76112382,,,|,5.039609578,53.17959646,,,|,5.039609578,0.366088445,,,|,5.039609578,0.004437688,,,|,5.039609578,0.011549698,,,|,5.039609578,0.134002202,,,|,0.487978125,280.8052374,0.140730694,245.0165779,|,0.487978125,280.8052374,0.140730694,245.0165779
  ,  ,,,,|,0.546161228,56.11818439,284.9738623,4:14,102.7502164,|,0.517115395,282.8792373,0.396685512,276.3240486,|,0.264899516,263.1808375,0.001369242,,|,,,,,|,7.00E-06,0.04186,,,|,,,0.908193878,291.4235237,|,21.8 - 16.9,18.65967731,0.013661717,0.275872857,2.928607391,368.5201768,|,4.216785167,0.186508453,4.345909106,0.204582622,|,4.216785167,324.7797205,,,|,4.345909106,0.021070096,4.216785167,0.186508453,|,4.345909106,0.204582622,4.216785167,0.186508453,|,4.216785167,0.186508453,,,|,4.345909106,0.204582622,,,|,20.8 - 16.5,18.13113144,0.001975946,0.342381196,0.435923296,371.1194249,|,2.374566294,0.058038659,2.674339489,0.136688872,|,2.674339489,0.024998669,2.374566294,0.058038659,|,2.674339489,0.136688872,2.374566294,0.058038659,|,2.374566294,116.2209414,2.674339489,222.967229,|,2.674339489,40.7807063,,,|,2.674339489,222.967229,,,|,14.0 - 11.9,12.95913258,0.006799028,0.10266415,2.098606018,13.58036024,|,4.216785167,0.16781656,4.357332098,0.20171321,|,4.216785167,54.29526818,4.357332098,192.3490856,|,4.357332098,0.20171321,4.357332098,192.3490856,|,7.6 -  6.7,7.195098865,0.003364994,0.019642718,1.870714383,7.205268416,|,2.581054689,0.27775757,2.688483573,0.095736891,|,2.581054689,247.142019,2.688483573,146.9820177,|,2.688483573,0.095736891,2.688483573,146.9820177,|,2.001546978,0.292325879,0.012685947,93.41648902,12.67614258,|,0.082588248,231.3520761,232.6415443,-1.289468187,-0.005573618,|,5.432770394,145.6837149,,,|,5.432770394,1.638684313,,,|,5.432770394,48.95484109,,,|,5.432770394,0.370539743,,,|,5.432770394,0.004451298,,,|,5.432770394,0.010599152,,,|,5.432770394,0.132980206,,,|,0.517115395,282.8792373,0.154301897,249.3864951,|,0.517115395,282.8792373,0.154301897,249.3864951
D-H Desorption cumulative surface area of pores , ,,,,|,0.586045155,60.20301379,287.8852752,4:19,102.7276027,|,0.546161228,284.9738623,0.353538462,273.2267523,|,0.285363257,265.1511046,0.00150598,,|,,,,,|,1.07E-05,0.05021,,,|,,,0.938759842,293.794768,|,16.9 - 14.0,15.1280624,0.008316261,0.262211139,2.198896491,365.5915694,|,4.066757268,0.181011737,4.138334789,0.210744493,|,4.066757268,319.720511,,,|,4.138334789,0.022504787,4.066757268,0.181011737,|,4.138334789,0.210744493,4.066757268,0.181011737,|,4.066757268,0.181011737,,,|,4.138334789,0.210744493,,,|,16.5 - 12.6,14.00149853,0.002964194,0.340405251,0.846821822,370.6835016,|,2.173903515,0.055137777,2.263016445,0.323555069,|,2.263016445,0.0646145,2.173903515,0.055137777,|,2.263016445,0.323555069,2.173903515,0.055137777,|,2.173903515,111.8821018,2.263016445,602.3297238,|,2.263016445,120.1815565,,,|,2.263016445,602.3297238,,,|,11.9 - 10.4,11.1561113,0.006083113,0.108747263,2.181087116,15.76144736,|,4.066757268,0.17115768,4.141771217,0.206058734,|,4.066757268,57.52202261,4.141771217,203.8331033,|,4.141771217,0.206058734,4.141771217,203.8331033,|,6.7 -  6.0,6.388948392,0.003663566,0.023306284,2.29368953,9.498957945,|,2.374566294,0.28266173,2.477810491,0.181089912,|,2.374566294,255.0589452,2.477810491,305.6608065,|,2.477810491,0.181089912,2.477810491,305.6608065,|,2.16238568,0.303541873,0.011215994,103.7902114,10.37372241,|,0.092847057,234.714801,234.7295866,-0.014785679,-6.30E-05,|,5.879544281,147.1887445,,,|,5.879544281,1.505029549,,,|,5.879544281,44.68961706,,,|,5.879544281,0.374964187,,,|,5.879544281,0.004424444,,,|,5.879544281,0.009708915,,,|,5.879544281,0.131377291,,,|,0.546161228,284.9738623,0.168452203,250.6980788,|,0.546161228,284.9738623,0.168452203,250.6980788
between 0.7500 nm and 300.0000 nm diameter:,270.8066 m?/g,,,,|,0.605946669,62.25411512,289.420548,4:24,102.7386044,|,0.586045155,287.8852752,0.327092808,271.2305433,|,,,,,|,,,,,|,1.56E-05,0.05857,,,|,,,0.970928862,296.2256739,|,14.0 - 11.9,12.77405239,0.006847497,0.253894879,2.144189475,363.3926729,|,3.725384976,0.177675509,3.877030355,0.225152088,|,3.725384976,316.495806,,,|,3.877030355,0.026247369,3.725384976,0.177675509,|,3.877030355,0.225152088,3.725384976,0.177675509,|,3.725384976,0.177675509,,,|,3.877030355,0.225152088,,,|,12.6 - 10.4,11.24710406,0.002811679,0.337441057,0.999965407,369.8366798,|,1.973836519,0.045812104,2.061540904,0.477765714,|,2.061540904,0.105101915,1.973836519,0.045812104,|,2.061540904,0.477765714,1.973836519,0.045812104,|,1.973836519,95.3984863,2.061540904,982.8789764,|,2.061540904,216.1904813,,,|,2.061540904,982.8789764,,,|,10.4 -  8.7,9.530039063,0.008644534,0.117391797,3.628328714,19.38977607,|,3.725384976,0.179087035,3.896071122,0.220763539,|,3.725384976,65.66289559,3.896071122,236.5758326,|,3.896071122,0.220763539,3.896071122,236.5758326,|,6.0 -  5.4,5.735021492,0.004023576,0.02732986,2.806319792,12.30527774,|,2.173903515,0.2916152,2.274234904,0.263391703,|,2.173903515,270.8066062,2.274234904,470.5635655,|,2.274234904,0.263391703,2.274234904,470.5635655,|,2.341095234,0.313309887,0.009768013,112.1350351,8.34482367,|,0.103808001,237.7381963,236.7037473,1.034449034,0.004351211,|,6.344189191,148.5526105,,,|,6.344189191,1.363866037,,,|,6.344189191,41.32747522,,,|,6.344189191,0.379290499,,,|,6.344189191,0.004326312,,,|,6.344189191,0.008966157,,,|,6.344189191,0.131094661,,,|,0.586045155,287.8852752,0.183144197,254.56,|,0.586045155,287.8852752,0.183144197,254.56
  ,  ,,,,|,0.631714978,64.89188709,291.4235237,4:29,102.7233631,|,0.605946669,289.420548,0.287403987,268.0113368,|,,,,,|,,,,,|,2.21E-05,0.06691,,,|,,,1.025034655,300.0183575,|,11.9 - 10.4,11.03299913,0.006118292,0.247047381,2.218179072,361.2484834,|,3.598991839,0.169478746,3.659390175,0.2330981,|,3.598991839,308.0390617,,,|,3.659390175,0.0281281,3.598991839,0.169478746,|,3.659390175,0.2330981,3.598991839,0.169478746,|,3.598991839,0.169478746,,,|,3.659390175,0.2330981,,,|,10.4 -  8.8,9.439416808,0.00291054,0.334629378,1.233355837,368.8367144,|,1.755484567,0.029037845,1.848030067,0.60153949,|,1.848030067,0.148816621,1.755484567,0.029037845,|,1.848030067,0.60153949,1.755484567,0.029037845,|,1.755484567,62.85145642,1.848030067,1323.041094,|,1.848030067,327.3110213,,,|,1.848030067,1323.041094,,,|,8.7 -  8.2,8.425208659,0.003315965,0.120707762,1.574306532,20.96408261,|,3.598991839,0.182562007,3.662188407,0.228381445,|,3.598991839,69.45841052,3.662188407,252.8558609,|,3.662188407,0.228381445,3.662188407,252.8558609,|,5.4 -  4.9,5.191513893,0.004473495,0.031803355,3.446775095,15.75205283,|,,,,,|,,,,,|,,,,,|,2.519804789,0.321731148,0.008421261,118.8190937,6.684058569,|,0.115456402,240.7473838,241.8225115,-1.075127739,-0.004465792,|,6.844575808,149.7345924,,,|,6.844575808,1.181981868,,,|,6.844575808,35.40351632,,,|,6.844575808,0.383335581,,,|,6.844575808,0.004045082,,,|,6.844575808,0.007672863,,,|,6.844575808,0.121161026,,,|,0.605946669,289.420548,0.198337302,255.7025815,|,0.605946669,289.420548,0.198337302,255.7025815
,,,,,|,0.660900329,67.89247517,293.794768,4:34,102.7272528,|,0.631714978,291.4235237,0.248550696,264.428785,|,,,,,,,,,,|,3.04E-05,0.07523,,,|,,,1.047112657,301.4964059,|,10.4 -  8.7,9.352033857,0.00884829,0.240929089,3.784541419,359.0303043,|,3.30061436,0.166006548,3.433310738,0.25833933,|,3.30061436,304.243678,,,|,3.433310738,0.033993188,3.30061436,0.166006548,|,3.433310738,0.25833933,3.30061436,0.166006548,|,3.30061436,0.166006548,,,|,3.433310738,0.25833933,,,|,8.8 -  7.6,8.127644963,0.003164032,0.331718838,1.557170372,367.6033586,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,,,,,|,8.2 -  7.1,7.623497582,0.008618677,0.129326439,4.522163988,25.48624659,|,3.30061436,0.191345883,3.4498031,0.250310298,|,3.30061436,79.64319509,3.4498031,303.9853103,|,3.4498031,0.250310298,3.4498031,303.9853103,|,4.9 -  4.5,4.734260289,0.005239998,0.037043353,4.427300137,20.17935297,|,,,,,,,,,,,,,,,|,2.734256221,0.329018599,0.007287451,124.1495751,5.330481439,|,0.127772301,243.6115244,243.4790311,0.132493389,0.000543872,|,7.398575836,150.6571867,,,|,7.398575836,0.922594345,,,|,7.398575836,27.49549456,,,|,7.398575836,0.386748523,,,|,7.398575836,0.003412942,,,|,7.398575836,0.005968031,,,|,7.398575836,0.101713751,,,|,0.631714978,291.4235237,0.213988706,256.7852603,|,0.631714978,291.4235237,0.213988706,256.7852603
,,,,,|,0.689612737,70.83960897,296.2256739,4:40,102.7237537,|,0.660900329,293.794768,0.209578284,260.170254,|,,,,,,,,,,|,4.09E-05,0.0835,,,|,,,,,|,8.7 -  8.2,8.407976773,0.003296877,0.2320808,1.568452078,355.2457629,|,3.132017814,0.156863524,3.210565617,0.276986155,|,3.132017814,293.5915409,,,|,3.210565617,0.038407564,3.132017814,0.156863524,|,3.210565617,0.276986155,3.132017814,0.156863524,|,3.132017814,0.156863524,,,|,3.210565617,0.276986155,,,|,7.6 -  6.7,7.128263136,0.003422201,0.328554806,1.920355888,366.0461882,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,7.1 -  6.5,6.775187338,0.005779542,0.13510598,3.412181083,28.89842768,|,3.132017814,0.197388498,3.216316087,0.270102704,|,3.132017814,87.15814714,3.216316087,345.701471,|,3.216316087,0.270102704,3.216316087,345.701471,|,4.5 -  4.1,4.322130275,0.208642885,0.245686238,193.0926387,213.2719917,|,,,,,,,,,,,,,,,|,2.948707652,0.335065216,0.006046617,128.2507732,4.101198108,|,0.140730694,246.2922752,245.0165779,1.275697343,0.005179608,|,7.98831723,151.4633652,,,|,7.98831723,0.80617845,,,|,7.98831723,24.08416386,,,|,7.98831723,0.389968528,,,|,7.98831723,0.003220005,,,|,7.98831723,0.005222636,,,|,7.98831723,0.096195971,,,|,0.660900329,293.794768,0.230053101,260.1932454,|,0.660900329,293.794768,0.230053101,260.1932454
Pore Volume,,,,,|,0.732625573,75.25322001,300.0183575,4:45,102.7171624,|,0.689612737,296.2256739,0.170830331,254.9274688,|,,,,,,,,,,|,5.42E-05,0.09173,,,|,,,,,|,8.2 -  7.1,7.527551965,0.008830947,0.228783922,4.692599638,353.6773108,|,2.946980783,0.150720366,3.032209315,0.303427941,|,2.946980783,285.9378642,,,|,3.032209315,0.04471618,2.946980783,0.150720366,|,3.032209315,0.303427941,2.946980783,0.150720366,|,2.946980783,0.150720366,,,|,3.032209315,0.303427941,,,|,6.7 -  6.0,6.340463397,0.003737384,0.325132606,2.357798455,364.1258323,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,6.5 -  6.0,6.22285984,0.005749191,0.140855171,3.695529706,32.59395738,|,2.946980783,0.204754375,3.039499298,0.295986816,|,2.946980783,96.8516869,3.039499298,402.685514,|,3.039499298,0.295986816,3.039499298,402.685514,|,4.1 -  3.8,3.972949462,0.026007408,0.271693646,26.18448451,239.4564762,|,,,,,,,,,,,,,,,|,3.181030107,0.34017154,0.005106323,131.4612574,3.21048419,|,0.154301897,248.8448382,249.3864951,-0.541656883,-0.002176685,|,8.631671354,152.2893985,,,|,8.631671354,0.826033337,,,|,8.631671354,24.83183833,,,|,8.631671354,0.393533552,,,|,8.631671354,0.003565024,,,|,8.631671354,0.005391544,,,|,8.631671354,0.107170134,,,|,0.689612737,296.2256739,0.246484801,261.1663528,|,0.689612737,296.2256739,0.246484801,261.1663528
,,,,,|,0.748509816,76.88183808,301.4964059,4:50,102.7131995,|,0.732625573,300.0183575,0.132375512,248.1202049,|,,,,,,,,,,|,7.06E-05,0.1,,,|,,,,,|,7.1 -  6.5,6.744129375,0.005829919,0.219952976,3.457774309,348.9847112,|,2.784329092,0.143157253,2.859703784,0.337468581,|,2.784329092,275.9608308,,,|,2.859703784,0.052636676,2.784329092,0.143157253,|,2.859703784,0.337468581,2.784329092,0.143157253,|,2.784329092,0.143157253,,,|,2.859703784,0.337468581,,,|,6.0 -  5.4,5.697424259,0.004117677,0.321395222,2.890904008,361.7680339,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,6.0 -  5.6,5.767823484,0.00491975,0.145774921,3.411858842,36.00581622,|,2.784329092,0.212407388,2.865654938,0.328138575,|,2.784329092,107.5340806,2.865654938,472.9148891,|,2.865654938,0.328138575,2.865654938,472.9148891,|,3.8 -  3.5,3.654855373,0.003225629,0.274919275,3.530239772,242.9867159,|,,,,,,,,,,,,,,,|,3.431223586,0.344782216,0.004610676,134.1487396,2.687482247,|,0.168452203,251.1724634,250.6980788,0.474384637,0.001888681,|,9.310767526,153.0475963,,,|,9.310767526,0.758197799,,,|,9.310767526,22.78195278,,,|,9.310767526,0.397063254,,,|,9.310767526,0.003529702,,,|,9.310767526,0.004937763,,,|,9.310767526,0.106058733,,,|,0.732625573,300.0183575,0.263235897,262.1033412,|,0.732625573,300.0183575,0.263235897,262.1033412
Single point adsorption total pore volume of pores , ,,,,|,0.791645252,81.28400799,305.5687573,4:56,102.6773138,|,0.748509816,301.4964059,0.092790649,238.3639083,|,,,,,,,,,,|,9.12E-05,0.1083,,,|,,,,,|,6.5 -  6.0,6.197295337,0.005805731,0.214123056,3.747267691,345.5269369,|,2.670048828,0.135296318,2.72406686,0.36696289,|,2.670048828,264.9653768,,,|,2.72406686,0.059685179,2.670048828,0.135296318,|,2.72406686,0.36696289,2.670048828,0.135296318,|,2.670048828,0.135296318,,,|,2.72406686,0.36696289,,,|,5.4 -  4.9,5.162354272,0.004590765,0.317277545,3.557109738,358.8771299,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,5.6 -  5.3,5.432132118,0.003881254,0.149656175,2.857996957,38.86381318,|,2.670048828,0.21866634,2.72719221,0.351941581,|,2.670048828,116.7141479,2.72719221,528.6677372,|,2.72719221,0.351941581,2.72719221,528.6677372,|,3.5 -  3.2,3.338492419,0,0.274919275,0,242.9867159,|,,,,,,,,,,,,,,,|,3.699287918,0.348991145,0.004208929,136.4242745,2.275534894,|,0.183144197,253.443737,254.56,-1.116333555,-0.00440466,|,10.06134779,153.6364192,,,|,10.06134779,0.588822948,,,|,10.06134779,17.55954279,,,|,10.06134779,0.400024414,,,|,10.06134779,0.002962176,,,|,10.06134779,0.003810429,,,|,10.06134779,0.088336334,,,|,0.748509816,301.4964059,0.280259013,265.0264514,|,0.748509816,301.4964059,0.280259013,265.0264514
less than 173.2998 nm diameter at P/Po = 0.989074517:,0.554106 cm?/g,,,,|,0.819871647,84.1853407,308.5157387,5:01,102.6811221,|,0.791645252,305.5687573,0.050488924,221.7511752,|,,,,,,,,,,|,0.000116552,0.1165,,,|,,,,,|,6.0 -  5.6,5.751077217,0.004949482,0.208317325,3.442473193,341.7796692,|,2.4541042,0.128940047,2.550326162,0.439292446,|,2.4541042,255.6318746,,,|,2.550326162,0.077740376,2.4541042,0.128940047,|,2.550326162,0.439292446,2.4541042,0.128940047,|,2.4541042,0.128940047,,,|,2.550326162,0.439292446,,,|,4.9 -  4.5,4.711287843,0.005396312,0.31268678,4.581602852,355.32,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,5.3 -  4.8,5.051448137,0.007326783,0.156982958,5.801728453,44.66554163,|,2.4541042,0.232313142,2.562079764,0.416810505,|,2.4541042,138.0199672,2.562079764,681.3501954,|,2.562079764,0.416810505,2.562079764,681.3501954,|,3.2 -  3.0,3.111099087,0,0.274919275,0,242.9867159,|,,,,,,,,,,,,,,,|,4.003093956,0.353077433,0.004086288,138.4658394,2.041564905,|,0.198337302,255.614433,255.7025815,-0.088148574,-0.00034485,|,10.86554079,154.163916,,,|,10.86554079,0.527496764,,,|,10.86554079,15.88954788,,,|,10.86554079,0.402891199,,,|,10.86554079,0.002865769,,,|,10.86554079,0.003448581,,,|,10.86554079,0.086324265,,,|,0.791645252,305.5687573,0.297506303,265.8922596,|,0.791645252,305.5687573,0.297506303,265.8922596
